split_name,label,test_count,train_count,val_count,test_prop,train_prop,val_prop
adversarial,B-BUSINESS,4,24,0,3.92026187349315e-05,9.121174807315182e-05,0.0
adversarial,B-GOVERNMENT,0,3,0,0.0,1.1401468509143978e-05,0.0
adversarial,B-LEGISLATION/ACT,1,13,2,9.800654683732874e-06,4.94063635396239e-05,5.196964972456086e-05
adversarial,B-LOCATION,1,5,0,9.800654683732874e-06,1.900244751523996e-05,0.0
adversarial,B-MISCELLANEOUS,4,15,1,3.92026187349315e-05,5.700734254571989e-05,2.598482486228043e-05
adversarial,B-PERSON,0,2,0,0.0,7.600979006095985e-06,0.0
adversarial,I-BUSINESS,1191,8412,1161,0.0116725797283258,0.0319697176996397,0.0301683816651075
adversarial,I-COURT,11,143,15,0.000107807201521,0.0005434699989358,0.0003897723729342
adversarial,I-GOVERNMENT,216,966,152,0.0021169414116863,0.0036712728599443,0.0039496933790666
adversarial,I-LEGISLATION/ACT,1009,2089,309,0.0098888605758864,0.0079392225718672,0.0080293108824446
adversarial,I-LOCATION,242,1284,198,0.0023717584334633,0.0048798285219136,0.0051449953227315
adversarial,I-MISCELLANEOUS,614,3626,543,0.0060176019758119,0.013780574938052,0.0141097599002182
adversarial,I-PERSON,202,938,187,0.001979732246114,0.003564859153859,0.0048591622492464
adversarial,O,98539,245604,35916,0.9657467118803535,0.9334154239065992,0.933270969753664
heur_len,B-BUSINESS,3,20,5,3.73101844366784e-05,7.054872800643404e-05,0.000125808318446
heur_len,B-GOVERNMENT,0,2,1,0.0,7.054872800643404e-06,2.516166368920313e-05
heur_len,B-LEGISLATION/ACT,4,10,2,4.974691258223787e-05,3.527436400321702e-05,5.032332737840626e-05
heur_len,B-LOCATION,1,4,1,1.2436728145559468e-05,1.4109745601286808e-05,2.516166368920313e-05
heur_len,B-MISCELLANEOUS,5,15,0,6.218364072779733e-05,5.2911546004825536e-05,0.0
heur_len,B-PERSON,0,0,2,0.0,0.0,5.032332737840626e-05
heur_len,I-BUSINESS,2216,7294,1254,0.0275597895705597,0.0257291211039464,0.0315527262662607
heur_len,I-COURT,10,159,0,0.0001243672814555,0.0005608623876511,0.0
heur_len,I-GOVERNMENT,264,941,129,0.0032832962304276,0.0033193176527027,0.0032458546159072
heur_len,I-LEGISLATION/ACT,725,2301,381,0.0090166279055306,0.0081166311571402,0.0095865938655863
heur_len,I-LOCATION,332,1195,197,0.0041289937443257,0.0042152864983844,0.004956847746773
heur_len,I-MISCELLANEOUS,915,3314,554,0.0113796062531869,0.0116899242306661,0.0139395616838185
heur_len,I-PERSON,194,973,160,0.0024127252602385,0.003432195617513,0.0040258661902725
heur_len,O,75738,267264,37057,0.9419329162883828,0.9427567620955796,0.9324157713308004
heur_rare,B-BUSINESS,13,12,3,0.0001382008377096,4.441647851352852e-05,7.613053849667563e-05
heur_rare,B-GOVERNMENT,1,2,0,1.06308336699764e-05,7.40274641892142e-06,0.0
heur_rare,B-LEGISLATION/ACT,3,8,5,3.18925010099292e-05,2.961098567568568e-05,0.0001268842308277
heur_rare,B-LOCATION,6,0,0,6.37850020198584e-05,0.0,0.0
heur_rare,B-MISCELLANEOUS,2,13,5,2.12616673399528e-05,4.811785172298923e-05,0.0001268842308277
heur_rare,B-PERSON,2,0,0,2.12616673399528e-05,0.0,0.0
heur_rare,I-BUSINESS,3182,6729,853,0.0338273127378649,0.0249065403264611,0.0216464497792214
heur_rare,I-COURT,41,121,7,0.000435864180469,0.0004478661583447,0.0001776379231589
heur_rare,I-GOVERNMENT,302,877,155,0.0032105117683328,0.003246104304697,0.0039334111556615
heur_rare,I-LEGISLATION/ACT,593,2508,306,0.006304084366296,0.0092830440093274,0.0077653149266609
heur_rare,I-LOCATION,553,1000,171,0.0058788510194969,0.0037013732094607,0.0043394406943105
heur_rare,I-MISCELLANEOUS,1358,2987,438,0.0144366721238279,0.0110560017766591,0.0111150586205146
heur_rare,I-PERSON,425,813,89,0.0045181043097399,0.0030092164192915,0.0022585393087347
heur_rare,O,87585,255100,37374,0.931101566984883,0.9442203057334272,0.948434248591585
loc,B-BUSINESS,13,13,2,0.0003238745359874,3.966413629817667e-05,5.5942491119129537e-05
loc,B-GOVERNMENT,1,2,0,2.4913425845187973e-05,6.102174815104103e-06,0.0
loc,B-LEGISLATION/ACT,1,15,0,2.4913425845187973e-05,4.5766311113280776e-05,0.0
loc,B-LOCATION,2,4,0,4.982685169037595e-05,1.2204349630208208e-05,0.0
loc,B-MISCELLANEOUS,4,15,1,9.96537033807519e-05,4.5766311113280776e-05,2.7971245559564768e-05
loc,B-PERSON,0,2,0,0.0,6.102174815104103e-06,0.0
loc,I-BUSINESS,2117,7892,755,0.0527417225142629,0.0240791818204007,0.0211182903974714
loc,I-COURT,24,138,7,0.0005979222202845,0.0004210500622421,0.0001957987189169
loc,I-GOVERNMENT,64,1205,65,0.001594459254092,0.0036765603261002,0.0018181309613717
loc,I-LEGISLATION/ACT,56,3289,62,0.0013951518473305,0.0100350264834386,0.001734217224693
loc,I-LOCATION,163,1413,148,0.0040608884127656,0.004311186506871,0.0041397443428155
loc,I-MISCELLANEOUS,419,4100,264,0.0104387254291337,0.0125094583709634,0.007384408827725
loc,I-PERSON,366,905,56,0.0091183138593387,0.0027612341038346,0.0015663897513356
loc,O,36909,308759,34391,0.9195296345200428,0.9420506968683638,0.961959106038992
reverse,B-BUSINESS,22,5,1,0.000157384554852,2.3145790706502115e-05,2.0905194940942824e-05
reverse,B-GOVERNMENT,3,0,0,2.1461530207103767e-05,0.0,0.0
reverse,B-LEGISLATION/ACT,13,0,3,9.299996423078298e-05,0.0,6.271558482282847e-05
reverse,B-LOCATION,6,0,0,4.2923060414207534e-05,0.0,0.0
reverse,B-MISCELLANEOUS,17,1,2,0.0001216153378402,4.629158141300423e-06,4.181038988188565e-05
reverse,B-PERSON,2,0,0,1.4307686804735844e-05,0.0,0.0
reverse,I-BUSINESS,7925,1610,1229,0.0566942089637657,0.0074529446074936,0.0256924845824187
reverse,I-COURT,163,2,4,0.0011660764745859,9.258316282600848e-06,8.36207797637713e-05
reverse,I-GOVERNMENT,1142,38,154,0.0081696891655041,0.0001759080093694,0.0032194000209051
reverse,I-LEGISLATION/ACT,2365,264,778,0.0169188396466001,0.0012220977493033,0.0162642416640535
reverse,I-LOCATION,1443,60,221,0.0103229960296169,0.000277749488478,0.0046200480819483
reverse,I-MISCELLANEOUS,3172,575,1036,0.022691991272311,0.0026617659312477,0.0216577819588167
reverse,I-PERSON,1169,24,134,0.0083628429373681,0.0001110997953912,0.0028012961220863
reverse,O,122343,213443,44273,0.8752226633758987,0.9880614011535862,0.9255356956203616
semantic,B-BUSINESS,7,21,0,0.0001303392544594,6.77270792213321e-05,0.0
semantic,B-GOVERNMENT,2,1,0,3.723978698841842e-05,3.2250990105396238e-06,0.0
semantic,B-LEGISLATION/ACT,0,16,0,0.0,5.160158416863397e-05,0.0
semantic,B-LOCATION,0,6,0,0.0,1.9350594063237743e-05,0.0
semantic,B-MISCELLANEOUS,4,15,1,7.447957397683685e-05,4.837648515809436e-05,2.508277315139962e-05
semantic,B-PERSON,0,2,0,0.0,6.450198021079247e-06,0.0
semantic,I-BUSINESS,3175,7256,333,0.0591181618441142,0.0234013184204755,0.008352563459416
semantic,I-COURT,42,118,9,0.0007820355267567,0.0003805616832436,0.0002257449583625
semantic,I-GOVERNMENT,184,1133,17,0.0034260604029344,0.0036540371789413,0.0004264071435737
semantic,I-LEGISLATION/ACT,584,2644,179,0.0108740178006181,0.0085271617838667,0.0044898163941005
semantic,I-LOCATION,339,1310,75,0.0063121438945369,0.0042248797038069,0.0018812079863549
semantic,I-MISCELLANEOUS,1016,3679,88,0.0189178117901165,0.0118651392597752,0.0022072840373231
semantic,I-PERSON,287,902,138,0.005343909432838,0.0029090393075067,0.0034614226948931
semantic,O,48066,292965,39028,0.89498380069266,0.9448411316227407,0.9789304705528244
standard,B-BUSINESS,5,22,1,0.0001242143442724,6.807309813046519e-05,2.487129106871938e-05
